Market Options 6 7 2020,,,,,,,
Symbol,Company Name,Last,Volume,Trades,Exercise Price,% Chg. (Close),+/- Chg. (Close)
RIOUF8,RIO TINTO  JUL-20P90,0.125,347,6,90,19.048,0.02
CBAU59,CWLTH BANK SEP-20C74,2.4,550,5,74.01,18.812,0.38
CBA3M8,CWLTH BANK AUG-20C72,2.55,34,2,72.01,18.056,0.39
BLDBK9,BORAL LTD  SEP-20C38,0.33,100,1,3.8,17.857,0.05
WEST99,WESFARMER  SEP-20C46,1.65,1,1,46.61,17.857,0.25
QBEET7,QBE INSUR. JUL-20C95,0.2,100,1,9.5,17.647,0.03
XJOKU9,S&P/ASX200 JUL-20C62,61,6,2,6200,17.308,9
STOLT8,SANTOS     JUL-20C52,0.205,12,1,5.25,17.143,0.03
APTFN7,AFTERPAY   JUL-20C67,4.275,1,1,67,17.123,0.625
CBAWP9,CWLTH BANK AUG-20C72,2.75,110,3,72,17.021,0.4
BHPK47,BHP GROUP  JUL-20C34,2.08,100,1,34,16.854,0.3
CBAXD9,CWLTH BANK OCT-20C69,4.835,2,1,69.01,16.366,0.68
WESMW8,WESFARMER  JUL-20C45,1.74,3,1,45,16,0.24
CBAW59,CWLTH BANK JUL-20C72,1.15,43,3,72,15.578,0.155
COLM79,COLESGROUP SEP-20C16,0.78,50,1,16.86,15.556,0.105
IMUOB,IMUGENE    OPT NOV21,0.015,127600,3,0.04,15.385,0.002
GNMOF,GREATNORTH OPT NOV22,0.015,1000000,2,0.01,15.385,0.002
CSLWT7,CSL        JUL-20P28,2.79,55,2,286.01,15.289,0.37
NVAO,NOVA MIN   OPT AUG20,0.023,969117,8,0.0325,15,0.003
RIOUL8,RIO TINTO  JUL-20P92,0.285,158,5,92,14,0.035
BHPRX7,BHP GROUP  AUG-20P32,0.45,67,5,32,13.924,0.055
XJOIL9,S&P/ASX200 JUL-20P56,33,250,9,5675,13.793,4
NCMZS8,NEWCREST   JUL-20P32,0.29,48,3,32,13.725,0.035
WPLKP9,WOODSIDE   AUG-20P23,1.95,10,1,23,13.372,0.23
CCZO,CASTILLOCO OPT MAR23,0.017,100000,1,0.05,13.333,0.002
TLS4Z7,TELSTRA    JUL-20C32,0.13,200,1,3.27,13.043,0.015
WBCUN9,WESTPAC    AUG-20C19,0.45,10,1,19.5,12.5,0.05
CPUCT8,CSHARE     JUL-20C13,0.45,50,1,13.25,12.5,0.05
FMG3U9,FORTESCUE  SEP-20C14,0.73,17,1,14.22,12.308,0.08
MQGUE9,MACQ GROUP SEP-20C13,4.15,5,1,130,12.162,0.45
BHPS67,BHP GROUP  AUG-20P34,0.835,643,6,34,12.081,0.09
A2MM48,A2 MILK    AUG-20C20,0.84,10,1,20.5,12,0.09
CBAUF9,CWLTH BANK AUG-20C76,1.12,61,9,76,12,0.12
RIO9Q8,RIO TINTO  SEP-20P86,2.8,1,1,86.85,12,0.3
CBAYH9,CWLTH BANK SEP-20C67,6.6,20,2,67,11.864,0.7
NABKX8,NAT. BANK  AUG-20C18,1.04,17,1,18.5,11.828,0.11
WPL1Q7,WOODSIDE   JUN-21C29,0.715,50,1,29,11.719,0.075
WBCWP9,WESTPAC    AUG-20C19,0.67,50,1,19,11.667,0.07
RIOJM8,RIO TINTO  DEC-20P97,9.6,1,1,97.34,11.628,1
APTGU7,AFTERPAY   AUG-20C70,7.2,4,1,70,11.369,0.735
AMCY37,AMCOR PLC  JUL-20P14,0.05,50,1,14,11.111,0.005
RIOEL8,RIO TINTO  JUL-20P95,1.5,60,1,95.01,11.111,0.15
ORG6J7,ORIGIN ENE SEP-20C65,0.2,25,2,6.5,11.111,0.02
FMGZR8,FORTESCUE  JUL-20C13,0.56,200,3,13.5,10.891,0.055
BHPC78,BHP GROUP  JUL-20P35,0.26,100,1,35.5,10.638,0.025
XJOD27,S&P/ASX200 JUL-20P59,52,170,4,5925,10.638,5
APTIM7,AFTERPAY   JUL-20C80,0.8,3,1,80,10.345,0.075
GSNOA,GREATSOUTH OPT SEP22,0.11,1308989,31,0.05,10,0.01
FLTI47,FLIGHT CTR AUG-20C12,0.77,8,1,12.82,10,0.07
XJO8Z8,S&P/ASX200 SEP-20C65,55,11,2,6500,10,5
RIOPW8,RIO TINTO  AUG-20P94,4.36,10,1,94,9.824,0.39
XJO2K9,S&P/ASX200 AUG-20P61,260,16,2,6150,9.705,23
QANMW7,QANTAS     DEC-20P38,0.46,30,1,3.8,9.524,0.04
FMGG37,FORTESCUE  JUL-20P14,0.23,100,1,14,9.524,0.02
NABJO8,NAT. BANK  AUG-20C20,0.35,80,3,20,9.375,0.03
CTMOC,CENTAURUS  OPT MAY21,0.35,152146,6,0.18,9.375,0.03
ORGT57,ORIGIN ENE AUG-20C60,0.35,30,1,6,9.375,0.03
TYMO,TYMLEZ     OPT DEC23,0.035,213992,4,0.065,9.375,0.003
TLS9M9,TELSTRA    AUG-20C33,0.175,120,1,3.3,9.375,0.015
WBCYE9,WESTPAC    AUG-20P18,0.6,30,1,18,9.091,0.05
FMGI27,FORTESCUE  JUL-20C11,2.42,5,1,11.51,8.52,0.19
XJO5F8,S&P/ASX200 SEP-20P59,210,501,2,5900,8.247,16
WESN38,WESFARMER  JUL-20C46,0.625,26,3,46.5,7.759,0.045
CSLYF8,CSL        AUG-20P28,7.54,2,1,280,7.714,0.54
FMGG17,FORTESCUE  JUL-20P13,0.14,651,4,13.75,7.692,0.01
ANZCT8,ANZ BANK   SEP-20P18,0.7,10,1,18.01,7.692,0.05
BSLIO7,BLUESCOPE  AUG-20P10,0.355,50,1,10,7.576,0.025
XJOVJ8,S&P/ASX200 JUL-20P61,115,20,3,6125,7.477,8
NABKZ8,NAT. BANK  AUG-20C19,0.73,30,4,19,7.353,0.05
NCMIS9,NEWCREST   JUL-20C33,0.59,100,1,33,7.273,0.04
NABQT8,NAT. BANK  DEC-20C19,1.34,10,1,19.01,7.2,0.09
WORX67,WORLEY     AUG-20C95,0.3,100,1,9.5,7.143,0.02
SEKVK9,SEEK       DEC-20P25,3.42,12,2,25,6.875,0.22
XJO2Q7,S&P/ASX200 AUG-20C62,127,160,12,6200,6.723,8
XJO0M8,S&P/ASX200 SEP-20C59,288,3,1,5975,6.667,18
WOWWF7,WOOLWORTHS AUG-20C38,0.8,10,1,38.5,6.667,0.05
XJOBK7,S&P/ASX200 AUG-20P55,65,10,1,5500,6.557,4
APTFP7,AFTERPAY   JUL-20C68,3.66,2,1,68,6.395,0.22
XJOXD9,S&P/ASX200 JUL-20P59,50,100,10,5900,6.383,3
CBANS8,CWLTH BANK SEP-20C72,3.35,10,1,72,6.349,0.2
LOMOC,LUCAPA     OPT JUN22,0.017,54000,2,0.1,6.25,0.001
SYD7X7,SYDAIRPORT JUL-20P55,0.09,110,2,5.5,5.882,0.005
NECD88,NINE ENT   AUG-20P14,0.09,4000,1,1.4,5.882,0.005
BXB8F7,BRAMB LTD  AUG-20P10,0.465,50,1,10.75,5.682,0.025
AZJZE9,AURIZON    SEP-20C52,0.095,4338,2,5.26,5.556,0.005
RIOUP8,RIO TINTO  JUL-20P94,0.58,670,7,94,5.455,0.03
SEKXT9,SEEK       SEP-20P19,0.42,15,2,19.01,5,0.02
CBAV69,CWLTH BANK JUL-20C74,0.42,214,6,74,5,0.02
CBAUR8,CWLTH BANK JUL-20C75,0.23,64,3,75,4.545,0.01
ANZQM9,ANZ BANK   SEP-20C20,0.7,15,1,20,4.478,0.03
WBCYZ9,WESTPAC    SEP-20C20,0.47,1205,7,20,4.444,0.02
CSLUZ8,CSL        JUL-20P28,2.44,5,1,284,4.051,0.095
XJO0J8,S&P/ASX200 AUG-20C61,156,3,2,6125,4,6
S32NK9,SOUTH32    SEP-20C21,0.135,349,2,2.18,3.846,0.005
STOLI8,SANTOS     JUL-20P55,0.27,5,1,5.5,3.846,0.01
WBCYB9,WESTPAC    JUL-20C18,0.86,190,2,18,3.614,0.03
WPLFZ8,WOODSIDE   SEP-20P20,0.87,3,1,20.01,3.571,0.03
APT4Z9,AFTERPAY   NOV-20C42,28.42,1,1,42.5,3.345,0.92
ANZGO7,ANZ BANK   DEC-20P21,3.2,8,1,21.51,3.226,0.1
WORWZ7,WORLEY     AUG-20C87,0.65,20,1,8.75,3.175,0.02
CSLX88,CSL        SEP-20C29,18.2,4,1,292,2.825,0.5
BHPIU8,BHP GROUP  SEP-20C26,9.28,30,1,26.5,2.769,0.25
NCMK48,NEWCREST   MAR-21C33,3.64,30,1,33.5,2.535,0.09
